area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo
1,10150,007601,015,04,1,3,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,5,5,5,5,4,1,5,4,4,2712,310.626868725798,010150007601,01015000760101504,010150007601015041,202210
1,10150,007601,015,05,1,3,2,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,5,5,5,5,5,1,4,4,5,2712,310.626868725798,010150007601,01015000760101505,010150007601015051,202210
1,10150,007601,015,06,1,3,6,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,5,5,5,5,5,1,5,4,4,2712,310.626868725798,010150007601,01015000760101506,010150007601015061,202210
1,10150,007601,015,07,1,2,6,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,5,4,5,5,5,5,3,5,1,2712,310.626868725798,010150007601,01015000760101507,010150007601015071,202210
1,10150,008202,015,02,1,1,1,1,1,1,2,1,1,2,1,2,4,2,2,2,2,2,5,5,5,5,5,3,5,5,5,2713,164.932947863819,010150008202,01015000820201502,010150008202015021,202210
1,10150,008202,015,03,1,3,1,2,5,1,1,2,2,2,1,1,4,2,2,2,2,2,5,5,5,5,5,1,5,5,5,2713,164.932947863819,010150008202,01015000820201503,010150008202015031,202210
1,10150,008202,015,04,1,3,1,2,2,1,1,2,2,2,1,2,4,2,2,2,2,2,5,5,5,5,5,1,5,2,5,2713,164.932947863819,010150008202,01015000820201504,010150008202015041,202210
1,10150,008202,015,05,1,3,1,5,5,1,2,2,1,2,1,1,4,2,2,2,2,2,5,5,5,5,5,1,5,2,3,2713,164.932947863819,010150008202,01015000820201505,010150008202015051,202210
1,10150,008202,015,07,1,1,1,2,2,1,1,2,1,2,1,1,4,2,2,2,2,2,5,5,5,5,5,1,5,5,4,2713,164.932947863819,010150008202,01015000820201507,010150008202015071,202210
1,10150,008202,015,09,1,1,1,5,5,1,1,1,1,1,1,1,4,2,2,2,2,2,5,5,5,5,5,4,5,5,5,2713,164.932947863819,010150008202,01015000820201509,010150008202015091,202210
1,10150,008202,015,10,1,3,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,5,2,5,5,5,2,3,5,5,2713,164.932947863819,010150008202,01015000820201510,010150008202015101,202210
1,10150,009303,028,02,1,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,5,5,5,4,5,1,2,2,1,2712,58.216562561358,010150009303,01015000930302802,010150009303028021,202210
1,10150,009303,028,03,1,3,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,5,5,5,4,4,5,4,4,4,2712,58.216562561358,010150009303,01015000930302803,010150009303028031,202210
1,10150,009303,028,04,1,3,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,4,3,5,5,5,1,3,3,3,2712,58.216562561358,010150009303,01015000930302804,010150009303028041,202210
1,10150,009303,028,05,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,5,5,4,5,5,2,4,5,5,2712,58.216562561358,010150009303,01015000930302805,010150009303028051,202210
1,10150,009303,028,06,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,5,5,4,2712,58.216562561358,010150009303,01015000930302806,010150009303028061,202210
1,10150,009303,028,08,1,3,1,1,1,1,2,2,1,2,2,1,3,2,2,2,2,2,5,5,5,4,4,1,5,5,5,2712,58.216562561358,010150009303,01015000930302808,010150009303028081,202210
1,10150,009303,028,09,1,3,1,1,1,1,2,2,1,2,2,1,4,2,2,2,2,2,5,5,5,5,5,1,5,1,5,2712,58.216562561358,010150009303,01015000930302809,010150009303028091,202210
1,10150,010102,013,01,1,3,1,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,5,5,5,5,99,1,1,1,5,2713,120.157289843518,010150010102,01015001010201301,010150010102013011,202210
1,10150,010102,013,02,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,2,5,2713,120.157289843518,010150010102,01015001010201302,010150010102013021,202210
1,10150,010102,013,03,1,1,1,5,5,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,1,5,2713,120.157289843518,010150010102,01015001010201303,010150010102013031,202210
1,10150,010102,013,04,1,3,1,1,1,1,2,2,2,2,2,1,4,2,2,2,2,2,5,5,5,5,5,1,1,1,5,2713,120.157289843518,010150010102,01015001010201304,010150010102013041,202210
1,10150,010102,013,05,1,1,1,2,2,1,2,2,2,2,2,2,4,2,2,2,2,2,5,5,5,5,5,2,2,2,5,2713,120.157289843518,010150010102,01015001010201305,010150010102013051,202210
1,10150,010102,013,06,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,5,5,99,5,5,5,1,1,5,2713,120.157289843518,010150010102,01015001010201306,010150010102013061,202210
1,10150,010102,013,07,1,3,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,5,5,5,5,5,1,5,5,1,2713,120.157289843518,010150010102,01015001010201307,010150010102013071,202210
1,10150,010702,013,01,1,3,1,1,5,2,2,2,1,2,1,2,3,2,2,2,2,2,3,3,2,3,4,3,5,3,5,2713,166.297191819578,010150010702,01015001070201301,010150010702013011,202210
1,10150,010702,013,02,1,3,1,1,4,1,2,2,2,2,1,1,3,2,2,2,2,2,4,4,4,4,5,4,5,5,5,2713,166.297191819578,010150010702,01015001070201302,010150010702013021,202210
1,10150,010702,013,03,1,1,1,1,4,1,2,2,2,2,1,1,4,2,2,2,2,2,3,3,4,3,3,4,3,4,4,2713,166.297191819578,010150010702,01015001070201303,010150010702013031,202210
1,10150,010702,013,04,1,3,1,2,1,1,2,2,2,2,2,1,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2713,166.297191819578,010150010702,01015001070201304,010150010702013041,202210
1,10150,010702,013,05,1,3,1,1,1,1,2,2,2,2,1,2,4,2,2,2,2,2,4,5,5,4,4,4,3,4,5,2713,166.297191819578,010150010702,01015001070201305,010150010702013051,202210
1,10150,010702,013,06,1,3,1,1,1,1,2,2,2,2,1,1,3,2,1,2,2,2,4,3,4,4,4,4,1,1,1,2713,166.297191819578,010150010702,01015001070201306,010150010702013061,202210
1,10150,010702,013,07,1,3,1,1,1,1,2,2,1,2,2,1,4,2,2,2,2,2,5,5,5,5,5,5,4,5,5,2713,166.297191819578,010150010702,01015001070201307,010150010702013071,202210
1,10150,011403,028,01,1,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,5,5,4,4,1,2,4,3,2712,61.863106077559,010150011403,01015001140302801,010150011403028011,202210
1,10150,011403,028,02,1,3,1,2,2,2,2,2,2,1,2,1,4,2,2,2,2,2,4,3,4,5,4,2,1,5,5,2712,61.863106077559,010150011403,01015001140302802,010150011403028021,202210
1,10150,011403,028,04,1,3,1,2,1,2,1,2,2,2,1,1,3,2,2,2,2,2,2,3,3,5,4,4,1,5,4,2712,61.863106077559,010150011403,01015001140302804,010150011403028041,202210
1,10150,011403,028,05,1,3,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,4,5,5,5,1,4,2,3,2712,61.863106077559,010150011403,01015001140302805,010150011403028051,202210
1,10150,011403,028,07,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,4,5,5,1,1,5,5,2712,61.863106077559,010150011403,01015001140302807,010150011403028071,202210
1,10150,011403,028,09,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,5,4,3,5,5,1,1,5,5,2712,61.863106077559,010150011403,01015001140302809,010150011403028091,202210
