area,ciudad,conglomerado,vivienda,hogar,estrato4,fexp4,sel,upm,id_hogar,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5c,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p10,s101p111,s101p11111,s101p112,s101p11112,s101p113,s101p11113,s101p114,s101p11114,s101p115,s101p11115,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p127,s101p13,s101p141,s101p142,s101p143,s101p144,s101p151,s101p152,s101p153,s101p154,s101p155,s101p156,s101p157,s101p158,s101p159,s101p1510,s101p1511,s101p16,s101p161,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183,S12P9,S12P13,S12P16,S12P16C,P1,NACIONAL,ciudad_num,P12,P14
1,180150,011503,01,1,2912,305.551422119141,1,180150011503,180150011503011,2,2,2,2,2,2,3,3,3,3,3,3,1,8,0,1,7,7,0,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,3,1,1,1,1,1,2, ,1,200,2, ,2, ,2, ,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,180150,2,2
1,180165,000704,11,1,1813,271.198883056641,1,180165000704,180165000704111,1,1,1,1,1,1,6,2,2,1,7,3,1,8,2,1,15,15,0,7,3,7,7,3,2,7,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,4,4,4,1,1,2, ,1,200,2, ,2, ,2, ,2,1,2,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,4,4,5,4,5,5,1,1,1,1,1,1,1,1,1,180165,1,2
2,180750,903002,05,1,1821,310.240692138672,1,180750903002,180750903002051,1,2,2,2,2,2,6,3,3,3,3,3,1,10,0,1,25,25,25,3,3,8,6,3,3,8,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,3,1,2,2,2,1,2, ,1,200,2, ,2, ,2, ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,3,1,1,1,1,4,3,4,1,1,1,1,1,1,180750,2,2
2,180752,900302,07,1,1822,340.637725830078,1,180752900302,180752900302071,1,1,1,2,2,2,6,2,2,3,3,8,1,4,0,1,8,3,0,3,3,8,5,3,3,8,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,3,1,2,2,1,1,2, ,1,200,2, ,2, ,2, ,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,99,99,5,4,4,1,4,4,4,1,1,1,1,1,1,180752,2,2
1,190150,001202,15,1,1913,41.8587913513184,1,190150001202,190150001202151,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,1,8,4,4,1,3,8,6,1,1,8,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,3,1,2,2,1,1,2, ,1,200,2, ,2, ,2, ,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2, ,5,1,1,5,5,1,1,1,1,1,1,1,1,1,1,190150,1,2
1,220350,000301,07,1,2213,79.6951599121094,1,220350000301,220350000301071,1,1,1,1,1,1,6,4,7,7,7,7,2, , ,1,10,10,10,3,3,3,3,3,3,3,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,3,1,2,2,1,1,2, ,1,200,2, ,2, ,2, ,2,1,2,2,2,2,2,4,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2, ,5,5,5,5,5,2,2,3,2,1,1,1,1,1,1,220350,1,2
1,040150,003802,01,1,0413,427.110565185547,1,040150003802,040150003802011,2,2,2,2,2,2,3,3,3,3,3,3,1,4,0,1,6,6,0,3,3,8,3,3,3,8,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,3,1,1,1,1,1,2, ,1,180,2, ,2, ,2, ,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,5,1,5,5,5,1,1,1,5,1,1,1,1,2,1,40150,1,1
1,170251,002701,13,1,1711,1348.63317871094,1,170251002701,170251002701131,2,2,2,2,2,2,3,3,3,3,8,8,1,4,0,1,17,7,0,8,3,8,6,3,3,8,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,3,6,1,1,1,1,2, ,1,180,2, ,2, ,2, ,2,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,2,2,5,5,1,1,3,1,2,1,170251,1,2
1,050150,006801,13,1,0512,97.7264556884766,1,050150006801,050150006801131,2,2,2,2,2,2,3,3,3,8,8,8,1,6,0,1,5,5,0,3,8,8,3,3,8,8,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,3,6,5,4,1,1,2, ,1,170,2, ,2, ,2, ,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,4,5,5,5,1,1,2,2,1,1,1,1,2,1,50150,1,2
1,150350,000801,07,1,1511,66.0729827880859,1,150350000801,150350000801071,2,2,2,2,2,2,3,3,3,3,3,3,1,4,0,1,6,6,0,3,3,3,3,3,3,8,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,1,2, ,1,160,2, ,2, ,2, ,1,1,2,2,2,2,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2, ,4,4,4,4,4,4,4,4,4,1,1,1,2,2,1,150350,1,1
1,170550,037602,03,1,1712,2540.92626953125,1,170550037602,170550037602031,1,2,2,2,2,2,6,3,3,3,3,3,1,4,0,1,9,9,0,3,3,8,6,3,3,8,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,3,1,2,2,2,1,2, ,1,160,2, ,2, ,2, ,2,2,2,2,2,2,1,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,1,1,5,5,1,1,1,1,1,1,170550,1,2
